dataset,file,orig_path,proc_path,pesq_wb,lag_samples_16k,status,error
stft_shuffle_dec,7,../dataset/test_sounds/test_sound7.wav,../transforms/stft/assets/decrypted/shuffle/test_sound7_shuffle_dec.wav,4.64230489730835,0,ok,
stft_shuffle_dec,8,../dataset/test_sounds/test_sound8.wav,../transforms/stft/assets/decrypted/shuffle/test_sound8_shuffle_dec.wav,4.642350673675537,0,ok,
stft_shuffle_dec,9,../dataset/test_sounds/test_sound9.wav,../transforms/stft/assets/decrypted/shuffle/test_sound9_shuffle_dec.wav,4.640902996063232,0,ok,
stft_shuffle_dec,10,../dataset/test_sounds/test_sound10.wav,../transforms/stft/assets/decrypted/shuffle/test_sound10_shuffle_dec.wav,4.6427788734436035,0,ok,
stft_shuffle_dec,11,../dataset/test_sounds/test_sound11.wav,../transforms/stft/assets/decrypted/shuffle/test_sound11_shuffle_dec.wav,4.642465591430664,0,ok,
stft_shuffle_dec,12,../dataset/test_sounds/test_sound12.wav,../transforms/stft/assets/decrypted/shuffle/test_sound12_shuffle_dec.wav,4.640537738800049,0,ok,
stft_shuffle_dec,13,../dataset/test_sounds/test_sound13.wav,../transforms/stft/assets/decrypted/shuffle/test_sound13_shuffle_dec.wav,4.641708850860596,0,ok,
stft_shuffle_dec,14,../dataset/test_sounds/test_sound14.wav,../transforms/stft/assets/decrypted/shuffle/test_sound14_shuffle_dec.wav,4.641922473907471,0,ok,
stft_shuffle_dec,15,../dataset/test_sounds/test_sound15.wav,../transforms/stft/assets/decrypted/shuffle/test_sound15_shuffle_dec.wav,4.642920017242432,0,ok,
stft_shuffle_dec,16,../dataset/test_sounds/test_sound16.wav,../transforms/stft/assets/decrypted/shuffle/test_sound16_shuffle_dec.wav,4.642662525177002,0,ok,
stft_shuffle_dec,17,../dataset/test_sounds/test_sound17.wav,../transforms/stft/assets/decrypted/shuffle/test_sound17_shuffle_dec.wav,4.643057823181152,0,ok,
stft_shuffle_dec,18,../dataset/test_sounds/test_sound18.wav,../transforms/stft/assets/decrypted/shuffle/test_sound18_shuffle_dec.wav,4.642282009124756,0,ok,
stft_shuffle_dec,19,../dataset/test_sounds/test_sound19.wav,../transforms/stft/assets/decrypted/shuffle/test_sound19_shuffle_dec.wav,4.641822338104248,0,ok,
stft_shuffle_dec,20,../dataset/test_sounds/test_sound20.wav,../transforms/stft/assets/decrypted/shuffle/test_sound20_shuffle_dec.wav,4.641926288604736,0,ok,
stft_shuffle_dec,21,../dataset/test_sounds/test_sound21.wav,../transforms/stft/assets/decrypted/shuffle/test_sound21_shuffle_dec.wav,4.639790058135986,0,ok,
stft_shuffle_dec,22,../dataset/test_sounds/test_sound22.wav,../transforms/stft/assets/decrypted/shuffle/test_sound22_shuffle_dec.wav,4.639914512634277,0,ok,
stft_shuffle_dec,23,../dataset/test_sounds/test_sound23.wav,../transforms/stft/assets/decrypted/shuffle/test_sound23_shuffle_dec.wav,4.641329288482666,0,ok,
